,score,text
0,10,편견을 깨어간다는 것은 자유로워지는 일이라고 생각합니다. 																									
1,2,뭐여 영화여? 뭐여! 돈이 아까워 																									
2,10,
3,2,"스토리, 영상 모두 전편보다 수준이 많이 떨어짐. 실망함. 정치색도 많이 반영된 것 같아 실망스러운 영화 																									"
4,6,인간적으로 너무함  ㅋ너무 안 죽는다. ㅋㅋㅋ폭탄이 들어와두 안죽어 ㅋ 																									
5,10,유해진이라는 배우에 한 획을 그은 영화인거같다 1000만을 못가서 아쉽다 																									
6,2,"별로,,, 진부한다 																									"
7,8,이 영화는 말도 안 되는 이야기인데 연출을 너무 잘했음 																									
8,5,10점이랑 1점 밖에 안 보이네10점은 500페이지 가까이 되네 ㅋㅋ 네이버는 그냥 평점 시스템 없애면 좋겠다 																									
9,10,
10,8,액션은 볼만함 이정재의 카리스마도 멋있음 킬링타임으로는 강추 그외는 기대하긴 좀 그럼 																									
11,9,
12,8,
13,10,"메멘토는 특이한 연출기법으로 22개의 흑백 장면과 22개의 컬러 장면, 총 44개의 장면으로 구성된다. 컬러 장면은 현재 시점부터 과거로 가고 흑백 장면은 과거로부터 현재. 보통의 방법으로 영화가 마무리된다. 																									"
14,10,요즘은 보기 힘든 절제미 																									
15,10,
16,1,이런 명배우들을 데리고 이 정도 수준의 영화 밖에 만들지 못했다는 게 놀랍다. 																									
17,9,CG가 너무 좋았고...이게 실화라니 믿기지가 않는다 																									
18,10,제일 신기한건 루시 친구 노트북 성능이 겁나 좋은거 같다 																									
19,10,필립 박사의 발명품은 정말 특별하지요.왜냐하면 여러가지 특징을 가졌니까요. 																									
20,10,차로 쓸어버리는거 진짜 같고 너무 잘봤어요~^^ 																									
21,10,
22,2,그냥 재미자체가 없어요.피터스토메이어 연기가.. 너무 																									
23,1,고전영화 만무방이 훨씬재밌다. 																									
24,1,최근한국영화 실망스럽네여...억지감동 스토리 껴마추기 어설픈 외국어... 																									
25,10,이 영화를 이렇게 늦게 보게 된 것이 후회된다. 																									
26,1,유치하다ㅜㅜ 영화수준이..진짜 																									
27,8,브이아이피 장동건 때문에 봤는데 나름대로 괜잖았음 																									
28,10,짧았지만 강렬한 불꽃처럼 타올랐던 그의 인생에 박수를 보냅니다. 																									
29,6,솔직히 스토리는 너무나도 뻔한데 전개가 시원시원했고 연출도 괜찮았음 주연 배우 연기도 좋았고 																									
30,10,가해자에 이입되는 인간은 찔리는게 있나봐? 																									
31,9,이런 선생님을 마다 할 이유가 																									
32,10,또 다시봐도봐도 최고이다 																									
33,10,좋은영화감사합니다 정말요 																									
34,10,
35,10,진짜 중딩때 유명하던 귀여니 보고 그 이후 성인되선 처음 본 듯 한데. 그당시 이입해서 보며 지냈던 그 나이때 그 기분이 이유없이 고스란히 되살아나서 진짜 놀랐다. 노래도 다 외우고 있음 나도 모르게 따라부르고ㅋㅋ유치한데 슬프고 괜히 첫사랑 아린기분 나고 근데 이기분이 귀할줄이야 																									
36,9,우리 한바도 남과북의 통일이 이루어지길 																									
37,1,"잘 나가던 마블영화 기세의 날개죽지를 확 꺾어버린 영화.솔직히 마블팬이지만, 오히려 원더우먼이 호감이고 캡틴마블은 개극혐이다. 																									"
38,2,"극본이 최악중의 최악. 중간중간 나레이션때는 도망치고 싶었음ㅠ 배우들 연기가 너무너무너무 아까웠던 영화. 연기만 잘하더라, 연기만... 이걸 왜 한다 그랬을까 진짜; 투자 때려부었나 																									"
39,10,최고♡5번넘게봤는데 볼때마다 펑펑울게되네요ㅠㅠ 모두 엄마한테 잘합시당..! 																									
40,2,"가정집에서 연막탄이 왜 나오는지, 좀비들이 왜 우르르 비오는소리로 들릴만큼 단체로 아파트로 뛰어 올라갔는지,  감염이 어디서부터 시작되었는지 등. 수 많은 의문점이 생기는 영화였습니다. 전개도 생뚱맞고 개연성도 없고 재미도 감동도 없는 비급도아닌 씨급영화 즉 삼류마이너쌈마이영화라고 생각합니다. 차라리 부산행을 10번보는게 우리의 삶의 질을 높혀줄것같네요. 																									"
41,5,최고의 소재를 겨우... 																									
